index STRING_id
249 1257118.L8GEW3
250 1257118.L8GEW8
251 1257118.L8GEW9
252 1257118.L8GEX3
253 1257118.L8GEX5
254 1257118.L8GEX7
255 1257118.L8GEY2
256 1257118.L8GEY3
257 1257118.L8GEY5
258 1257118.L8GEY6
259 1257118.L8GEY8
260 1257118.L8GEZ2
261 1257118.L8GEZ4
262 1257118.L8GEZ6
263 1257118.L8GF03
264 1257118.L8GF04
265 1257118.L8GF07
266 1257118.L8GF10
267 1257118.L8GF11
268 1257118.L8GF12
269 1257118.L8GF13
270 1257118.L8GF16
271 1257118.L8GF17
272 1257118.L8GF21
273 1257118.L8GF23
274 1257118.L8GF24
275 1257118.L8GF29
276 1257118.L8GF32
277 1257118.L8GF36
278 1257118.L8GF39
279 1257118.L8GF40
280 1257118.L8GF41
281 1257118.L8GF47
282 1257118.L8GF48
283 1257118.L8GF49
284 1257118.L8GF50
285 1257118.L8GF56
286 1257118.L8GF60
287 1257118.L8GF65
288 1257118.L8GF66
289 1257118.L8GF68
290 1257118.L8GF70
291 1257118.L8GF72
292 1257118.L8GF73
293 1257118.L8GF77
294 1257118.L8GF79
295 1257118.L8GF81
296 1257118.L8GF83
297 1257118.L8GF84
298 1257118.L8GF85
299 1257118.L8GF87
300 1257118.L8GF88
301 1257118.L8GF89
302 1257118.L8GF90
303 1257118.L8GF91
304 1257118.L8GF92
305 1257118.L8GF93
306 1257118.L8GF94
307 1257118.L8GF95
308 1257118.L8GF96
309 1257118.L8GF97
310 1257118.L8GF99
311 1257118.L8GFA0
312 1257118.L8GFA1
313 1257118.L8GFA2
314 1257118.L8GFA4
315 1257118.L8GFA5
316 1257118.L8GFA6
317 1257118.L8GFB1
318 1257118.L8GFB3
319 1257118.L8GFB5
320 1257118.L8GFB6
321 1257118.L8GFB7
322 1257118.L8GFB9
323 1257118.L8GFC0
324 1257118.L8GFC2
325 1257118.L8GFC3
326 1257118.L8GFC4
327 1257118.L8GFD0
328 1257118.L8GFD2
329 1257118.L8GFD3
330 1257118.L8GFD9
331 1257118.L8GFE1
332 1257118.L8GFE2
333 1257118.L8GFE3
334 1257118.L8GFE5
335 1257118.L8GFE6
336 1257118.L8GFE9
337 1257118.L8GFF0
338 1257118.L8GFF1
339 1257118.L8GFF3
340 1257118.L8GFF6
341 1257118.L8GFG0
342 1257118.L8GFG5
343 1257118.L8GFG8
344 1257118.L8GFH8
345 1257118.L8GFI3
346 1257118.L8GFI4
347 1257118.L8GFI7
348 1257118.L8GFI8
349 1257118.L8GFI9
350 1257118.L8GFJ0
351 1257118.L8GFJ1
352 1257118.L8GFJ2
353 1257118.L8GFJ3
354 1257118.L8GFJ8
355 1257118.L8GFK0
356 1257118.L8GFK1
357 1257118.L8GFK3
358 1257118.L8GFK5
359 1257118.L8GFK9
360 1257118.L8GFL1
361 1257118.L8GFL2
362 1257118.L8GFL3
363 1257118.L8GFL4
364 1257118.L8GFL5
365 1257118.L8GFL6
366 1257118.L8GFL9
367 1257118.L8GFM4
368 1257118.L8GFM8
369 1257118.L8GFN3
370 1257118.L8GFN5
371 1257118.L8GFN7
372 1257118.L8GFN9
373 1257118.L8GFP0
374 1257118.L8GFP1
375 1257118.L8GFP2
376 1257118.L8GFQ0
377 1257118.L8GFQ2
378 1257118.L8GFR0
379 1257118.L8GFR3
380 1257118.L8GFR5
381 1257118.L8GFR6
382 1257118.L8GFR7
383 1257118.L8GFR9
384 1257118.L8GFS0
385 1257118.L8GFS4
386 1257118.L8GFS5
387 1257118.L8GFT1
388 1257118.L8GFT2
389 1257118.L8GFT4
390 1257118.L8GFT5
391 1257118.L8GFT7
392 1257118.L8GFT9
393 1257118.L8GFU2
394 1257118.L8GFU9
395 1257118.L8GFV0
396 1257118.L8GFV2
397 1257118.L8GFV3
398 1257118.L8GFV6
399 1257118.L8GFV7
400 1257118.L8GFW1
401 1257118.L8GFW2
402 1257118.L8GFW4
403 1257118.L8GFW5
404 1257118.L8GFW6
405 1257118.L8GFW7
406 1257118.L8GFW8
407 1257118.L8GFW9
408 1257118.L8GFX5
409 1257118.L8GFX9
410 1257118.L8GFY0
411 1257118.L8GFY2
412 1257118.L8GFY4
413 1257118.L8GFY5
414 1257118.L8GFZ5
415 1257118.L8GFZ7
416 1257118.L8GFZ8
417 1257118.L8GFZ9
418 1257118.L8GG01
419 1257118.L8GG03
420 1257118.L8GG04
421 1257118.L8GG05
422 1257118.L8GG07
423 1257118.L8GG10
424 1257118.L8GG14
425 1257118.L8GG16
426 1257118.L8GG17
